GENE	S_cerevisiae	S_cerevisiae+N	S_paradoxus	S_paradoxus+N	UNINFORMATIVE	UNINFORMATIVE+N	UNK	UNK+N
NM_001178148.1	34	0	6	0	0	0	164	0
NM_001178149.1	20	0	19	0	0	0	47	0
NM_001178150.1	3610	0	1243	0	89	0	1788	0
NM_001178151.1	2328	9	3542	241	1478	0	542	7
NM_001178152.1	325	0	165	0	40	0	203	4
NM_001178153.1	21	0	29	0	0	0	13	0
NM_001178154.1	90	0	138	0	0	0	56	0
NM_001178155.2	18	0	57	0	0	0	28	0
NM_001178156.1	240	0	254	0	23	0	369	0
NM_001178157.1	2112	0	3178	0	0	0	57	0
NM_001178158.2	117	0	122	0	0	0	165	0
NM_001178159.1	58	0	11	0	0	0	16	0
NM_001178160.1	0	0	0	0	0	0	85	0
NM_001178161.1	651	0	891	0	0	0	16	0
NM_001178162.2	20	0	10	0	0	0	25	0
NM_001178163.1	0	0	0	0	0	0	0	0
NM_001178164.1	201	0	239	0	0	0	394	0
NM_001178165.2	141	0	87	0	0	0	47	0
NM_001178166.1	19	0	35	0	0	0	24	0
NM_001178167.1	453	0	184	0	0	0	75	0
NM_001178168.1	612	0	972	0	0	0	1005	0
NM_001178169.1	12	0	31	0	0	0	72	0
NM_001178170.2	772	0	1144	0	75	0	414	0
NM_001178171.2	255	0	211	0	0	0	65	0
NM_001178172.1	47	0	21	0	0	0	9	0
NM_001178173.1	0	0	0	0	0	0	13	0
NM_001178174.1	10	0	6	0	0	0	313	0
NM_001178175.1	227	20	35	0	14	0	24	1
NM_001178176.1	0	0	0	0	0	0	28	0
NM_001178177.1	22	0	9	0	0	0	21	0
NM_001178178.1	344	0	56	0	0	0	91	0
NM_001178179.1	0	0	0	0	0	0	116	0
NM_001178180.1	12504	253	8939	232	491	92	4935	392
NM_001178181.1	1254	0	196	0	0	0	34	0
NM_001178182.1	0	0	0	0	0	0	28	0
NM_001178183.1	3965	0	4455	0	2626	15	9969	0
NM_001178184.1	418	0	309	0	0	0	139	0
NM_001178185.1	83	0	34	0	0	0	169	0
NM_001178186.1	167	0	190	0	0	0	34	0
NM_001178187.1	1121	0	1511	0	0	0	40	0
NM_001178188.1	294	0	509	0	0	0	33	0
NM_001178189.1	469	0	743	0	0	0	499	0
NM_001178191.1	254	0	171	0	0	0	10	0
NM_001178192.2	16	0	79	0	0	0	24	0
NM_001178193.1	0	0	0	0	0	0	3	0
NM_001178194.1	286	0	167	0	0	0	16	0
NM_001178195.2	14	0	49	0	0	0	45	0
NM_001178196.2	389	0	371	0	0	0	94	0
NM_001178197.1	0	0	0	0	0	0	25	0
NM_001178198.1	0	0	0	0	0	0	37	0
NM_001178199.2	0	0	0	0	0	0	216	0
NM_001178200.1	15	0	2	0	0	0	179	0
NM_001178201.2	68	0	28	0	0	0	179	0
NM_001178202.2	219	0	247	0	0	0	35	0
NM_001178203.1	0	0	0	0	0	0	11	0
NM_001178204.1	12	0	32	0	2	0	31	0
NM_001178205.1	0	0	0	0	0	0	278	0
NM_001178206.2	0	0	0	0	0	0	0	0
NM_001178208.1	0	0	0	0	0	0	12	0
NM_001178209.1	241	5	130	0	0	0	108	0
NM_001178210.1	0	0	0	0	0	0	70	0
NM_001178211.1	390	0	238	0	0	0	37	0
NM_001178212.1	123	3	109	2	0	0	28	0
NM_001178215.2	31	0	32	0	0	0	37	0
NM_001178216.1	774	0	1301	0	202	0	91	0
NM_001178217.1	344	63	157	2	0	0	71	0
NM_001178218.2	19	0	23	0	0	0	55	0
NM_001178220.2	0	0	0	0	0	0	30	0
NM_001178221.1	62	0	92	0	0	0	14	0
NM_001178222.1	0	0	0	0	0	0	17	0
NM_001178223.1	0	0	0	0	0	0	4	0
