GENE	E_amarillans	E_amarillans+N	E_elymi	E_elymi+N	UNINFORMATIVE	UNINFORMATIVE+N	UNK	UNK+N
Eel732_004340	25	95	0	43	0	0	1	34
Eam702_006428	25	46	10	88	0	0	21	72
Eam702_001535	15	195	36	276	0	0	64	193
Eel732_001101	1	0	11	192	1	25	0	8
Eel732_006560	44	387	81	488	8	89	1	22
Eam702_002851	27	131	17	0	0	28	2	35
Eel732_005042	20	408	56	517	0	0	83	250
Eel732_001253	1	116	42	437	0	18	5	86
Eel732_005746	29	200	29	376	0	17	1	74
Eel732_000619	4	68	0	16	22	208	5	32
Eam702_007430	0	70	1	58	6	9	1	104
Eel732_005191	2	0	0	0	0	0	35	0
Eel732_004431	0	105	19	23	0	36	15	35
Eam702_006339	17	109	6	96	1	0	0	24
Eam702_000232	21	96	3	69	0	0	1	4
Eam702_004090	2	27	7	66	1	22	20	106
Eam702_003775	0	0	0	0	0	0	0	0
Eel732_001070	2	63	4	46	0	25	0	14
Eam702_000845	0	0	0	0	0	0	0	0
Eel732_000128	1	27	27	26	0	0	23	0
Eam702_000676	18	324	14	40	0	0	13	65
Eel732_004879	11	151	18	152	0	0	39	70
Eam702_004498	11	1	2	54	0	0	14	41
Eam702_002746	0	42	1	16	0	10	6	8
Eam702_000719	36	175	28	244	0	30	4	97
Eam702_003522	0	1	0	0	0	0	0	0
Eel732_003790	2	27	10	96	0	0	5	198
Eel732_003324	0	11	5	52	1	23	0	0
Eel732_003405	18	146	17	106	6	63	0	110
Eel732_006043	12	104	35	382	0	56	0	72
Eel732_004841	0	24	41	109	0	0	0	36
Eam702_004877	2	26	3	26	0	0	2	4
Eam702_002914	0	72	20	21	0	0	0	0
Eel732_001916	40	154	5	137	0	0	20	35
Eel732_003469	1	1	0	41	0	0	0	45
Eel732_005589	25	592	153	825	21	194	39	264
Eam702_002067	3	121	0	116	0	0	3	110
Eel732_007043	12	128	0	22	0	21	15	2
Eel732_002298	2	89	6	66	0	0	1	0
Eam702_001642	73	49	0	75	0	13	0	42
Eam702_001530	1	116	5	72	1	0	4	66
Eam702_000594	5	31	26	0	6	0	0	0
Eel732_000548	1	41	7	110	0	0	5	33
Eam702_000357	24	242	7	65	0	0	0	57
Eel732_007228	19	56	4	93	6	77	19	58
Eel732_000676	12	38	15	117	0	4	0	8
Eel732_004747	17	307	27	241	3	69	18	21
Eel732_003694	0	71	5	252	0	0	7	7
Eel732_007563	28	43	0	14	0	0	28	33
Eel732_005174	0	193	43	178	0	16	0	36
Eam702_001103	543	2749	839	2739	23	77	136	424
Eam702_000124	17	119	17	56	2	19	80	79
Eel732_006049	10	21	2	19	0	0	7	0
Eam702_000162	72	285	22	114	2	15	27	81
Eam702_001010	22	102	1	32	0	0	18	49
Eel732_002871	21	56	0	33	0	0	1	52
Eam702_005815	4	138	1	165	0	0	0	51
Eam702_005307	116	507	13	93	0	0	10	14
Eel732_007925	0	32	0	5	0	0	0	21
Eam702_004862	0	0	0	0	0	0	0	0
Eel732_000337	2	91	32	130	0	0	3	84
Eel732_000717	0	15	1	23	0	0	1	7
Eel732_006020	27	22	0	55	0	0	58	25
Eam702_004426	31	259	21	176	0	0	7	137
Eel732_006402	1	122	15	151	6	5	18	87
Eam702_005796	38	79	0	45	0	5	23	13
Eam702_006907	44	285	3	171	17	8	1	39
Eel732_007063	0	0	20	7	1	0	18	19
Eam702_000399	8	92	8	213	0	0	6	158
Eam702_003709	6	164	7	145	0	0	0	26
Eel732_001973	10	27	10	18	0	0	0	0
Eam702_001708	21	107	12	162	0	0	7	74
Eel732_007205	22	168	48	349	0	7	16	165
Eam702_003857	0	83	0	6	0	0	38	41
Eam702_006170	17	362	0	67	11	36	1	49
Eel732_001220	0	38	0	25	0	0	16	18
Eam702_005816	1	80	7	0	0	0	0	0
Eel732_000144	0	0	0	0	0	0	21	0
Eam702_003382	5	166	0	168	0	0	23	99
Eam702_007050	4	87	0	31	0	0	1	74
Eam702_004363	46	108	79	233	0	14	21	151
Eam702_000934	20	137	3	339	0	20	83	254
Eel732_000455	6	0	1	1	0	0	21	52
Eam702_002843	3	70	13	166	0	0	4	29
Eel732_006462	0	0	0	0	0	0	77	0
Eam702_001442	13	225	15	157	0	0	23	145
Eam702_006197	17	547	12	243	1	40	12	108
Eam702_003106	0	0	0	0	0	0	0	0
Eam702_006922	0	0	0	0	0	0	0	9
Eel732_005867	23	39	10	84	0	9	0	103
Eel732_004375	0	0	0	0	0	23	18	0
Eam702_003836	39	212	12	198	0	0	2	58
Eel732_003695	22	258	18	179	23	0	25	44
Eel732_003429	0	0	0	0	0	0	0	0
Eel732_007454	0	14	0	24	22	0	9	4
Eam702_001311	2	65	0	13	0	0	29	31
Eel732_004885	19	103	15	158	0	0	27	96
Eam702_003175	1	63	14	41	0	0	0	1
Eam702_003537	36	64	0	56	0	0	0	6
Eam702_005325	0	0	1	0	0	0	0	50
Eel732_008152	13	79	6	59	0	0	18	51
Eam702_002916	6	82	3	227	0	8	2	67
Eam702_007074	0	0	0	14	2	18	13	16
Eel732_002364	24	192	4	48	0	0	8	63
Eam702_002063	13	496	30	413	16	135	2	183
Eam702_001055	7	216	31	249	0	14	1	124
Eel732_006200	0	0	0	0	0	0	7	0
Eam702_003342	31	232	2	266	0	20	31	173
Eel732_006427	6	19	0	64	0	0	0	18
Eam702_001394	17	110	12	149	0	64	15	75
Eam702_003315	4	0	70	48	0	0	1	10
Eel732_006331	0	78	28	39	0	0	4	69
Eel732_002815	22	0	0	53	0	5	2	1
Eam702_000364	0	0	0	4	0	0	7	53
Eel732_003369	0	71	0	40	0	0	41	50
Eel732_006385	0	83	4	27	0	0	14	35
Eel732_007539	12	184	2	269	0	0	25	189
Eam702_003331	31	103	2	65	2	0	16	131
Eam702_001737	17	55	0	20	0	0	0	6
Eam702_006066	28	415	8	235	9	30	10	55
Eam702_006444	46	193	60	197	0	0	19	141
Eel732_003747	4	39	0	20	4	0	0	29
Eel732_005252	7	120	78	750	0	0	92	525
Eam702_006491	0	0	9	0	0	43	0	6
Eam702_002622	25	122	2	57	0	32	4	45
Eel732_005683	4	126	10	63	9	221	0	0
Eam702_006940	23	141	51	504	0	0	31	166
Eel732_001537	14	98	6	111	4	52	4	41
Eel732_003397	0	0	0	11	0	0	0	0
Eel732_003446	0	62	7	132	0	9	3	36
Eel732_003920	4	88	17	221	0	32	6	69
Eel732_006426	0	0	0	0	0	0	12	0
Eel732_003511	23	137	37	92	0	5	2	22
Eam702_002883	48	310	16	18	0	0	20	85
Eel732_007720	2	48	5	140	0	0	20	39
Eam702_001623	7	204	4	78	0	0	0	79
Eel732_004252	0	42	0	2	0	0	6	27
Eam702_007045	0	26	0	35	0	0	30	32
Eel732_003548	0	0	0	0	0	0	13	0
Eam702_001490	0	0	0	0	0	0	12	0
Eel732_003060	24	25	0	17	8	3	0	46
Eel732_004995	30	272	4	220	0	0	2	132
Eel732_007937	37	454	29	505	8	36	23	171
Eel732_000071	28	230	13	147	24	0	1	103
Eam702_005938	49	67	0	14	0	0	0	15
Eam702_001511	20	95	0	0	0	0	5	42
Eel732_003171	3	203	34	292	0	0	0	113
Eam702_002159	7	159	17	294	0	0	26	59
Eam702_001159	0	41	9	49	0	0	0	49
Eel732_000812	23	226	64	125	9	126	92	78
Eam702_004904	46	621	14	411	0	31	13	226
Eam702_004896	30	52	30	68	0	0	1	29
Eam702_004546	25	80	2	83	0	0	17	81
Eam702_006646	26	126	2	68	0	0	5	22
Eel732_006430	1	207	12	167	0	0	9	44
Eam702_004977	0	153	4	187	0	0	11	119
Eel732_007844	1	8	17	128	0	0	0	102
Eel732_006931	11	46	64	109	3	60	5	94
Eel732_004815	11	7	36	138	0	0	19	26
Eam702_000060	5	141	12	232	0	14	12	160
Eel732_002417	0	0	0	18	0	0	0	25
Eel732_001166	0	9	2	35	0	0	0	0
Eel732_005163	0	27	0	18	12	0	5	14
Eel732_006428	24	32	2	171	3	10	7	58
Eel732_005019	19	59	0	0	0	0	13	62
Eam702_002655	5	138	25	409	0	16	2	93
Eam702_003746	25	119	0	43	0	0	0	68
Eel732_004116	0	0	4	0	0	0	0	0
Eam702_000210	0	0	0	0	0	0	38	0
Eam702_006297	0	0	0	0	0	0	0	0
Eel732_004976	1	9	1	70	0	0	0	7
Eam702_007299	81	611	56	623	14	112	119	679
Eel732_006634	0	0	0	0	0	0	0	0
Eel732_005188	0	12	5	0	0	0	58	14
Eam702_003280	0	0	0	0	0	0	22	0
Eam702_003891	2	20	0	12	0	0	0	73
Eam702_007055	43	37	0	15	0	10	0	0
Eel732_007293	0	5	6	50	0	0	24	8
Eel732_005213	0	70	0	170	0	0	0	0
Eam702_005763	0	0	35	16	0	0	8	36
Eel732_007294	0	0	0	0	0	0	0	0
Eel732_007173	6	40	8	7	0	33	37	35
Eam702_005528	28	6	8	13	0	0	1	12
Eel732_002481	4	133	34	283	4	49	2	5
Eel732_003244	32	248	32	95	0	0	17	196
Eel732_006326	8	92	4	150	0	0	1	97
Eel732_007089	3	16	11	80	0	0	1	7
Eel732_000150	133	603	132	1029	5	94	54	226
Eel732_007941	1	33	1	96	1	15	0	26
Eam702_001317	129	635	26	130	0	0	8	430
Eam702_006490	51	384	7	346	0	34	0	172
Eel732_000568	21	256	47	316	14	123	21	107
Eam702_004397	1	73	1	103	5	0	0	0
Eel732_001025	0	0	0	0	0	0	16	0
Eam702_006641	0	19	10	64	0	0	0	20
Eel732_007549	24	192	23	135	0	0	8	181
Eam702_006378	1	0	0	0	0	0	1	10
Eam702_002155	0	0	4	58	0	0	9	37
Eam702_002915	21	269	17	238	0	0	12	161
Eam702_000727	0	30	21	96	0	0	0	35
Eam702_005678	2	100	0	21	0	0	38	30
Eam702_006503	0	0	0	0	0	0	4	0
Eam702_006649	13	5	0	32	0	0	0	38
Eam702_003417	23	106	2	76	4	16	0	55
Eam702_003085	0	24	1	35	0	0	4	0
Eel732_007168	9	172	10	58	0	0	3	76
Eam702_005018	11	161	0	55	0	0	5	107
Eam702_005980	3	101	1	20	0	0	19	24
Eam702_004097	0	0	1	13	0	0	69	0
Eel732_003339	7	29	0	78	0	45	3	42
Eel732_007816	0	0	0	21	0	0	0	1
Eam702_007396	26	51	15	103	0	18	6	142
Eam702_002462	0	19	0	9	0	0	2	0
