GENE	S_alburnoides	S_alburnoides+N	S_pyrenaicus	S_pyrenaicus+N	UNINFORMATIVE	UNINFORMATIVE+N	UNK	UNK+N
CVRK01000001.1	0	0	0	0	0	0	6	0
CVRK01000003.1	0	0	0	0	0	0	7	0
CVRK01000004.1	0	0	0	0	0	0	7	0
CVRK01000005.1	0	0	0	0	0	0	0	0
CVRK01000006.1	0	0	25	4	2250	326	1463	85
CVRK01000007.1	0	0	0	0	0	0	181	0
CVRK01000008.1	0	0	0	0	0	0	0	0
CVRK01000010.1	0	0	0	0	0	0	2	0
CVRK01000011.1	18	12	21	0	13	0	186	17
CVRK01000012.1	33	39	65	8	186	25	69	58
CVRK01000013.1	0	0	0	0	0	0	9	0
CVRK01000014.1	0	0	0	0	0	0	3	0
CVRK01000015.1	0	0	0	0	0	0	768	0
CVRK01000016.1	0	0	0	0	0	0	17	0
CVRK01000017.1	0	0	0	0	0	0	7	0
CVRK01000018.1	0	0	0	0	0	0	0	0
CVRK01000019.1	74	7	179	0	20	0	172	8
CVRK01000020.1	0	0	0	0	0	0	7	0
CVRK01000021.1	0	0	0	0	0	0	36	0
CVRK01000022.1	0	0	0	0	0	0	0	0
CVRK01000023.1	0	0	0	0	0	0	2	0
CVRK01000024.1	0	0	0	0	0	0	6	0
CVRK01000025.1	95	0	116	3	69	2	140	0
CVRK01000026.1	0	0	0	0	0	0	18	0
CVRK01000027.1	753	5	771	6	726	107	766	6
CVRK01000028.1	0	0	0	0	0	0	20	0
CVRK01000029.1	0	0	0	0	0	0	0	0
CVRK01000030.1	0	0	0	0	0	0	4	0
CVRK01000031.1	19	0	24	1	70	6	157	4
CVRK01000032.1	0	0	0	0	0	0	4	0
CVRK01000033.1	0	0	0	0	0	0	11	0
CVRK01000034.1	0	0	0	0	0	0	115	0
CVRK01000035.1	0	0	0	0	0	0	23	0
CVRK01000036.1	0	0	0	0	0	0	25	0
CVRK01000037.1	0	0	0	0	0	0	7	0
CVRK01000038.1	0	0	0	0	0	0	12	0
CVRK01000039.1	0	0	0	0	0	0	3	0
CVRK01000040.1	0	0	0	0	0	0	18	0
CVRK01000041.1	0	0	0	0	0	0	1	0
CVRK01000042.1	0	0	0	0	0	0	2	0
CVRK01000043.1	0	0	0	0	0	0	0	0
CVRK01000044.1	0	0	0	0	0	0	2	0
CVRK01000045.1	0	0	0	0	0	0	0	0
CVRK01000046.1	0	0	0	0	0	0	3	0
CVRK01000047.1	151	41	75	32	142	91	18	19
CVRK01000048.1	0	0	0	0	0	0	1	0
CVRK01000049.1	0	0	0	0	0	0	0	0
CVRK01000050.1	0	0	0	0	0	0	5	0
CVRK01000051.1	0	0	0	0	0	0	2	0
CVRK01000052.1	0	0	0	0	0	0	0	0
CVRK01000053.1	0	0	0	0	0	0	1	0
CVRK01000054.1	0	0	0	0	0	0	67	0
CVRK01000055.1	0	0	0	0	0	0	2	0
CVRK01000056.1	0	0	0	0	0	0	14	0
CVRK01000057.1	0	0	0	0	0	0	117	0
CVRK01000058.1	0	0	0	0	0	0	12	0
CVRK01000059.1	0	0	0	0	0	0	26	0
CVRK01000060.1	0	0	0	0	0	0	1	0
CVRK01000061.1	0	0	0	0	0	0	5	0
CVRK01000062.1	0	0	0	0	0	0	2	0
CVRK01000063.1	0	0	0	0	0	0	158	0
CVRK01000064.1	0	0	0	0	0	0	10	0
CVRK01000065.1	0	0	0	0	0	0	156	0
CVRK01000066.1	0	0	0	0	0	0	112	0
CVRK01000067.1	0	0	0	0	0	0	1	0
CVRK01000068.1	0	0	0	0	0	0	0	0
CVRK01000069.1	0	0	0	0	0	0	35	0
CVRK01000070.1	0	0	0	0	0	0	14	0
CVRK01000071.1	0	0	0	0	0	0	15	0
CVRK01000072.1	0	0	0	0	0	0	9	0
CVRK01000073.1	0	0	0	0	0	0	109	0
CVRK01000074.1	0	0	0	0	0	0	94	0
CVRK01000075.1	0	0	0	0	0	0	24	0
CVRK01000076.1	0	0	0	0	0	0	384	0
CVRK01000077.1	0	0	0	0	0	0	90	0
CVRK01000078.1	0	0	0	0	0	0	0	0
CVRK01000079.1	0	0	0	0	0	0	352	0
CVRK01000080.1	0	0	0	0	0	0	56	0
CVRK01000081.1	0	0	0	0	0	0	19	0
CVRK01000082.1	0	0	0	0	0	0	0	0
CVRK01000083.1	0	0	0	0	0	0	0	0
CVRK01000084.1	0	0	0	0	0	0	0	0
CVRK01000085.1	0	0	0	0	0	0	2	0
CVRK01000086.1	0	0	0	0	0	0	1	0
CVRK01000087.1	0	0	0	0	0	0	0	0
CVRK01000088.1	0	0	0	0	0	0	8	0
CVRK01000089.1	0	0	0	0	0	0	221	0
CVRK01000090.1	0	0	0	0	0	0	0	0
CVRK01000091.1	0	0	0	0	0	0	3	0
CVRK01000092.1	0	0	0	0	0	0	10	0
CVRK01000093.1	0	0	0	0	0	0	0	0
CVRK01000094.1	0	0	0	0	0	0	3	0
CVRK01000095.1	0	0	0	0	0	0	10	0
CVRK01000096.1	0	0	0	0	0	0	1	0
CVRK01000097.1	0	0	0	0	0	0	6	0
CVRK01000098.1	0	0	0	0	0	0	0	0
CVRK01000099.1	0	0	0	0	0	0	14	0
CVRK01000100.1	0	0	0	0	0	0	4	0
CVRK01000101.1	0	0	0	0	0	0	115	0
CVRK01000102.1	8	0	17	0	11	0	103	0
CVRK01000103.1	0	0	0	0	0	0	0	0
CVRK01000104.1	0	0	0	0	0	0	20	0
CVRK01000105.1	165	1	64	0	53	1	69	0
CVRK01000106.1	0	0	0	0	0	0	11	0
CVRK01000107.1	0	0	0	0	0	0	21	0
CVRK01000108.1	0	0	0	0	0	0	12	0
CVRK01000109.1	0	0	0	0	0	0	54	0
CVRK01000110.1	0	0	0	0	0	0	0	0
CVRK01000111.1	0	0	0	0	0	0	0	0
CVRK01000112.1	0	0	0	0	0	0	83	0
CVRK01000113.1	0	0	0	0	0	0	958	0
CVRK01000114.1	0	0	0	0	0	0	0	0
CVRK01000115.1	0	0	0	0	0	0	0	0
CVRK01000116.1	0	0	0	0	0	0	0	0
CVRK01000117.1	0	0	0	0	0	0	2	0
CVRK01000118.1	0	0	0	0	0	0	26	0
CVRK01000119.1	0	0	0	0	0	0	14	0
CVRK01000120.1	0	0	0	0	0	0	12	0
CVRK01000121.1	0	0	0	0	0	0	10	0
CVRK01000122.1	0	0	0	0	0	0	4	0
CVRK01000123.1	0	0	0	0	0	0	21	0
CVRK01000124.1	0	0	0	0	0	0	0	0
CVRK01000125.1	0	0	0	0	0	0	6	0
CVRK01000126.1	0	0	0	0	0	0	1	0
CVRK01000127.1	0	0	0	0	0	0	25	0
CVRK01000128.1	0	0	0	0	0	0	48	0
CVRK01000129.1	0	0	0	0	0	0	78	0
CVRK01000130.1	0	0	0	0	0	0	42	0
CVRK01000131.1	0	0	0	0	0	0	8	0
CVRK01000132.1	0	0	0	0	0	0	1	0
CVRK01000133.1	0	0	0	0	0	0	166	0
CVRK01000134.1	0	0	0	0	0	0	1	0
CVRK01000135.1	0	0	0	0	0	0	0	0
CVRK01000136.1	0	0	0	0	0	0	109	0
CVRK01000137.1	0	0	0	0	0	0	11	0
CVRK01000138.1	0	0	0	0	0	0	174	0
CVRK01000139.1	0	0	0	0	0	0	15	0
CVRK01000140.1	0	0	0	0	0	0	105	0
CVRK01000141.1	17	0	11	0	39	0	87	7
CVRK01000142.1	0	0	0	0	0	0	0	0
CVRK01000143.1	0	0	0	0	0	0	2	0
CVRK01000144.1	0	0	0	0	0	0	0	0
CVRK01000145.1	0	0	0	0	0	0	410	0
CVRK01000147.1	0	0	0	0	0	0	4	0
CVRK01000148.1	0	0	0	0	0	0	15	0
CVRK01000149.1	0	0	0	0	0	0	21	0
CVRK01000150.1	0	0	0	0	0	0	0	0
CVRK01000151.1	0	0	0	0	0	0	8	0
CVRK01000152.1	0	0	0	0	0	0	1	0
CVRK01000153.1	0	0	0	0	0	0	0	0
CVRK01000154.1	0	0	0	0	0	0	3	0
CVRK01000155.1	0	0	0	0	0	0	0	0
CVRK01000156.1	114	5	310	9	1157	53	1689	32
CVRK01000157.1	0	0	0	0	0	0	1	0
CVRK01000158.1	0	0	0	0	0	0	20	0
CVRK01000159.1	0	0	0	0	0	0	26	0
CVRK01000160.1	0	0	0	0	0	0	0	0
CVRK01000161.1	0	0	0	0	0	0	0	0
CVRK01000162.1	0	0	0	0	0	0	1	0
CVRK01000163.1	0	0	0	0	0	0	18	0
CVRK01000164.1	0	0	0	0	0	0	0	0
CVRK01000165.1	0	0	0	0	0	0	46	0
CVRK01000166.1	0	0	0	0	0	0	1	0
CVRK01000167.1	0	0	0	0	0	0	16	0
CVRK01000168.1	0	0	0	0	0	0	154	0
CVRK01000169.1	0	0	0	0	0	0	6	0
CVRK01000170.1	0	0	0	0	0	0	189	0
CVRK01000171.1	0	0	0	0	0	0	22	0
CVRK01000172.1	0	0	0	0	0	0	0	0
CVRK01000173.1	0	0	0	0	0	0	2	0
CVRK01000174.1	16	8	31	0	3	0	175	1
CVRK01000175.1	2	0	29	0	0	0	38	23
CVRK01000176.1	0	0	0	0	0	0	1	0
CVRK01000177.1	0	0	0	0	0	0	1	0
CVRK01000178.1	0	0	0	0	0	0	55	0
CVRK01000179.1	0	0	0	0	0	0	1	0
CVRK01000180.1	0	0	0	0	0	0	141	0
CVRK01000181.1	0	0	0	0	0	0	0	0
CVRK01000182.1	0	0	0	0	0	0	16	0
CVRK01000183.1	0	0	0	0	0	0	12	0
CVRK01000184.1	0	0	0	0	0	0	3	0
CVRK01000185.1	0	0	0	0	0	0	11	0
CVRK01000186.1	0	0	0	0	0	0	0	0
CVRK01000187.1	0	0	0	0	0	0	0	0
CVRK01000188.1	0	0	0	0	0	0	43	0
CVRK01000189.1	0	0	0	0	0	0	1	0
CVRK01000190.1	0	0	0	0	0	0	0	0
CVRK01000191.1	0	0	0	0	0	0	0	0
CVRK01000192.1	0	0	0	0	0	0	6	0
CVRK01000193.1	0	0	0	0	0	0	5	0
CVRK01000194.1	0	0	0	0	0	0	296	0
CVRK01000195.1	0	0	0	0	0	0	7	0
CVRK01000196.1	0	0	0	0	0	0	4	0
CVRK01000197.1	0	0	0	0	0	0	0	0
CVRK01000198.1	0	0	0	0	0	0	0	0
CVRK01000199.1	146	45	89	6	137	47	217	0
CVRK01000200.1	0	0	0	0	0	0	2	0
CVRK01000201.1	0	0	0	0	0	0	9	0
CVRK01000202.1	0	0	0	0	0	0	0	0
CVRK01000203.1	0	0	0	0	0	0	13	0
CVRK01000204.1	0	0	0	0	0	0	0	0
CVRK01000205.1	6	0	5	0	41	1	408	0
CVRK01000206.1	0	0	0	0	0	0	0	0
CVRK01000207.1	0	0	0	0	0	0	1	0
CVRK01000208.1	0	0	0	0	0	0	108	0
CVRK01000209.1	0	0	0	0	0	0	6	0
CVRK01000210.1	0	0	0	0	0	0	5	0
CVRK01000211.1	0	0	0	0	0	0	0	0
CVRK01000212.1	0	0	0	0	0	0	1	0
CVRK01000213.1	0	0	0	0	0	0	2	0
CVRK01000214.1	0	0	0	0	0	0	15	0
CVRK01000215.1	0	0	0	0	0	0	86	0
CVRK01000216.1	0	0	0	0	0	0	230	0
CVRK01000217.1	0	0	0	0	0	0	49	0
CVRK01000218.1	0	0	0	0	0	0	1	0
CVRK01000219.1	0	0	0	0	0	0	120	0
CVRK01000220.1	0	0	0	0	0	0	1	0
CVRK01000221.1	0	0	0	0	0	0	3	0
CVRK01000222.1	0	0	0	0	10	0	158	0
CVRK01000223.1	0	0	0	0	0	0	0	0
CVRK01000224.1	0	0	0	0	0	0	3	0
CVRK01000225.1	0	0	0	0	0	0	28	0
CVRK01000226.1	0	0	0	0	0	0	0	0
CVRK01000227.1	0	0	0	0	0	0	6	0
CVRK01000228.1	0	0	0	0	0	0	0	0
CVRK01000229.1	0	0	0	0	0	0	0	0
CVRK01000230.1	11	0	0	0	0	0	171	0
CVRK01000231.1	0	0	0	0	0	0	0	0
CVRK01000232.1	0	0	0	0	0	0	0	0
CVRK01000233.1	0	0	0	0	0	0	11	0
CVRK01000234.1	0	0	0	0	0	0	12	0
CVRK01000235.1	0	0	0	0	0	0	0	0
CVRK01000236.1	0	0	0	0	0	0	10	0
CVRK01000237.1	0	0	0	0	0	0	22	0
CVRK01000238.1	0	0	0	0	0	0	30	0
CVRK01000239.1	0	0	0	0	0	0	2	0
CVRK01000240.1	0	0	0	0	0	0	0	0
CVRK01000241.1	0	0	0	0	0	0	6	0
CVRK01000242.1	0	0	0	0	0	0	29	0
CVRK01000243.1	0	0	0	0	0	0	9	0
CVRK01000244.1	0	0	0	0	0	0	6	0
CVRK01000245.1	0	0	0	0	0	0	30	0
CVRK01000246.1	0	0	0	0	0	0	65	0
CVRK01000247.1	0	0	0	0	0	0	0	0
CVRK01000248.1	0	0	0	0	0	0	22	0
CVRK01000249.1	0	0	0	0	0	0	6	0
CVRK01000250.1	0	0	0	0	0	0	0	0
CVRK01000251.1	0	0	0	0	0	0	0	0
CVRK01000252.1	0	0	0	0	0	0	0	0
CVRK01000253.1	0	0	0	0	0	0	0	0
CVRK01000254.1	0	0	0	0	0	0	24	0
CVRK01000255.1	0	0	0	0	0	0	3	0
CVRK01000256.1	0	0	0	0	0	0	1	0
CVRK01000257.1	0	0	0	0	0	0	0	0
CVRK01000258.1	0	0	0	0	0	0	0	0
CVRK01000259.1	0	0	0	0	0	0	102	0
CVRK01000260.1	57	0	68	1	0	0	111	31
CVRK01000261.1	2	3	2	2	51	84	6	2
CVRK01000262.1	0	0	0	0	0	0	175	0
CVRK01000263.1	0	0	0	0	0	0	0	0
CVRK01000264.1	0	0	0	0	0	0	24	0
CVRK01000266.1	0	0	0	0	0	0	0	0
CVRK01000267.1	0	0	0	0	0	0	11	0
CVRK01000268.1	0	0	0	0	0	0	9	0
CVRK01000269.1	0	0	0	0	0	0	0	0
CVRK01000270.1	0	0	0	0	0	0	112	0
CVRK01000271.1	0	0	0	0	0	0	74	0
CVRK01000272.1	0	0	0	0	0	0	0	0
CVRK01000273.1	0	0	0	0	0	0	8	0
CVRK01000274.1	0	0	0	0	0	0	13	0
CVRK01000275.1	0	0	0	0	0	0	20	0
CVRK01000276.1	0	0	0	0	0	0	38	0
CVRK01000277.1	0	0	0	0	0	0	13	0
CVRK01000278.1	0	0	0	0	0	0	3	0
CVRK01000281.1	0	0	0	0	0	0	0	0
CVRK01000282.1	0	0	0	0	0	0	46	0
CVRK01000283.1	0	0	0	0	0	0	16	0
CVRK01000284.1	0	0	0	0	0	0	0	0
CVRK01000285.1	0	0	0	0	0	0	0	0
CVRK01000286.1	0	0	0	0	0	0	8	0
