GENE	S_cerevisiae	S_cerevisiae+N	S_paradoxus	S_paradoxus+N	UNINFORMATIVE	UNINFORMATIVE+N	UNK	UNK+N
NM_001178148.1	31	0	10	0	0	0	148	0
NM_001178149.1	31	0	20	0	0	0	60	0
NM_001178150.1	5058	0	1268	0	90	0	1977	0
NM_001178151.1	3963	3	4456	313	2417	0	874	10
NM_001178152.1	439	0	161	0	41	0	217	1
NM_001178153.1	13	0	24	0	0	0	16	0
NM_001178154.1	95	0	65	0	0	0	69	0
NM_001178155.2	27	0	42	0	0	0	19	0
NM_001178156.1	205	0	186	0	17	0	319	0
NM_001178157.1	2612	0	2409	0	0	0	72	0
NM_001178158.2	91	0	51	0	0	0	127	0
NM_001178159.1	56	0	18	0	0	0	22	0
NM_001178160.1	0	0	0	0	0	0	69	0
NM_001178161.1	746	0	694	0	0	0	15	0
NM_001178162.2	33	0	15	0	0	0	24	0
NM_001178163.1	0	0	0	0	0	0	1	0
NM_001178164.1	217	0	177	0	0	0	274	0
NM_001178165.2	150	0	42	0	0	0	42	0
NM_001178166.1	25	0	29	0	0	0	35	0
NM_001178167.1	600	0	127	0	0	0	56	0
NM_001178168.1	565	0	662	0	0	0	679	0
NM_001178169.1	20	0	26	0	0	0	60	0
NM_001178170.2	684	0	731	0	46	0	259	0
NM_001178171.2	328	0	199	0	0	0	49	0
NM_001178172.1	41	0	15	0	0	0	10	0
NM_001178173.1	0	0	0	0	0	0	15	0
NM_001178174.1	8	0	4	0	0	0	307	0
NM_001178175.1	228	15	37	0	12	0	33	3
NM_001178176.1	0	0	0	0	0	0	33	0
NM_001178177.1	36	0	2	0	0	0	23	0
NM_001178178.1	432	0	50	0	0	0	106	0
NM_001178179.1	0	0	0	0	0	0	108	0
NM_001178180.1	13131	263	6175	150	508	62	4503	335
NM_001178181.1	1265	0	147	0	0	0	37	0
NM_001178182.1	0	0	0	0	0	0	33	0
NM_001178183.1	4697	0	3844	0	2581	23	10110	0
NM_001178184.1	295	0	188	0	0	0	108	0
NM_001178185.1	122	0	41	0	0	0	195	0
NM_001178186.1	235	0	148	0	0	0	28	0
NM_001178187.1	1349	0	1018	0	0	0	39	0
NM_001178188.1	316	0	344	0	0	0	24	0
NM_001178189.1	510	0	585	0	0	0	476	0
NM_001178191.1	347	0	202	0	0	0	15	0
NM_001178192.2	28	0	50	0	0	0	16	0
NM_001178193.1	0	0	0	0	0	0	0	0
NM_001178194.1	377	0	194	0	0	0	15	0
NM_001178195.2	33	0	41	0	0	0	47	0
NM_001178196.2	326	0	223	0	0	0	64	0
NM_001178197.1	0	0	0	0	0	0	19	0
NM_001178198.1	0	0	0	0	0	0	47	0
NM_001178199.2	0	0	0	0	0	0	203	0
NM_001178200.1	13	0	7	0	0	0	207	0
NM_001178201.2	75	0	16	0	0	0	186	0
NM_001178202.2	302	0	231	0	0	0	45	0
NM_001178203.1	0	0	0	0	0	0	14	0
NM_001178204.1	16	0	15	0	8	0	27	0
NM_001178205.1	0	0	0	0	0	0	69	0
NM_001178206.2	0	0	0	0	0	0	1	0
NM_001178208.1	0	0	0	0	0	0	20	0
NM_001178209.1	263	11	96	0	0	0	115	0
NM_001178210.1	0	0	0	0	0	0	62	0
NM_001178211.1	433	0	162	0	0	0	34	0
NM_001178212.1	112	5	69	1	0	0	29	0
NM_001178215.2	34	0	14	0	0	0	19	0
NM_001178216.1	814	0	1021	0	164	0	91	0
NM_001178217.1	433	63	145	1	0	0	76	1
NM_001178218.2	29	0	16	0	0	0	61	0
NM_001178220.2	0	0	0	0	0	0	26	0
NM_001178221.1	78	0	84	0	0	0	25	0
NM_001178222.1	0	0	0	0	0	0	8	0
NM_001178223.1	0	0	0	0	0	0	2	0
NM_001178224.1	0	0	0	0	0	0	52	0
NM_001178225.1	47	0	44	0	0	0	23	0
NM_001178226.1	0	0	0	0	0	0	18	0
NM_001178227.1	424	0	78	0	12	0	169	0
NM_001178230.1	0	0	0	0	0	0	64	0
NM_001178235.1	0	0	0	0	0	0	5	0
NM_001178236.1	11	0	76	0	0	0	13	0
NM_001178239.1	289	0	261	35	374	5	18	5
NM_001178241.1	623	28	651	0	101	0	35	0
NM_001178242.1	986	0	523	0	127	0	76	0
NM_001178243.1	1178	0	1362	0	1356	0	35	0
NM_001178244.1	1453	10	1361	0	0	0	201	4
NM_001178245.1	0	0	0	0	0	0	152	0
NM_001178246.1	38	0	19	0	6	0	21	0
NM_001178247.1	276	0	48	0	14	0	240	0
