GENE	E_amarillans	E_amarillans+N	E_elymi	E_elymi+N	UNINFORMATIVE	UNINFORMATIVE+N	UNK	UNK+N
Eel732_004340	31	97	102	86	23	5	43	52
Eam702_006428	205	151	218	124	0	0	153	161
Eam702_001535	251	250	419	487	0	0	176	269
Eel732_001101	0	0	559	456	36	65	16	14
Eel732_006560	321	736	430	1016	71	49	42	113
Eam702_002851	223	157	101	39	27	22	63	33
Eel732_005042	768	850	683	841	4	0	381	316
Eel732_001253	308	233	533	434	51	6	200	204
Eel732_005746	438	542	413	418	30	18	121	171
Eel732_000619	128	72	108	42	228	254	26	43
Eam702_007430	103	110	98	115	21	85	149	129
Eel732_005191	6	0	25	0	0	0	18	0
Eel732_004431	26	17	86	77	7	4	48	19
Eam702_006339	237	165	204	206	9	8	106	109
Eam702_000232	159	100	135	115	0	0	51	26
Eam702_004090	79	91	161	77	54	60	128	113
Eam702_003775	0	0	0	0	0	0	60	0
Eel732_001070	69	15	65	28	27	14	30	48
Eam702_000845	0	0	0	0	0	0	0	0
Eel732_000128	19	14	119	66	0	47	9	20
Eam702_000676	369	439	148	146	0	0	140	442
Eel732_004879	232	231	268	286	12	0	178	138
Eam702_004498	9	7	62	69	15	8	42	93
Eam702_002746	63	49	68	77	21	68	24	32
Eam702_000719	484	351	313	296	45	44	114	49
Eam702_003522	9	60	8	44	0	0	12	21
Eel732_003790	82	121	207	198	0	0	133	326
Eel732_003324	24	40	132	120	11	41	15	64
Eel732_003405	210	214	164	169	63	134	93	66
Eel732_006043	172	146	442	430	39	67	78	54
Eel732_004841	5	3	379	255	0	0	73	27
Eam702_004877	65	178	73	75	11	0	24	12
Eam702_002914	42	26	50	31	19	0	46	10
Eel732_001916	398	386	117	111	9	5	121	73
Eel732_003469	47	34	93	108	0	0	66	56
Eel732_005589	564	1317	1290	1425	266	249	304	540
Eam702_002067	99	307	128	151	0	0	144	109
Eel732_007043	127	182	140	123	30	12	45	53
Eel732_002298	92	94	112	169	7	28	15	27
Eam702_001642	70	125	67	162	43	111	34	105
Eam702_001530	140	187	175	119	2	5	84	52
Eam702_000594	166	29	44	14	24	6	52	0
Eel732_000548	149	138	183	98	0	1	64	37
Eam702_000357	378	600	175	278	0	0	153	215
Eel732_007228	136	104	90	54	204	154	56	65
Eel732_000676	157	129	136	69	23	18	81	35
Eel732_004747	301	396	440	470	95	105	51	79
Eel732_003694	221	167	429	344	8	0	42	35
Eel732_007563	63	31	68	25	0	0	41	17
Eel732_005174	282	303	279	392	48	27	203	168
Eam702_001103	3449	6401	4041	6419	122	157	954	1710
Eam702_000124	265	454	139	97	20	23	231	182
Eel732_006049	7	1	13	0	0	0	104	0
Eam702_000162	373	602	164	145	3	90	112	117
Eam702_001010	229	284	117	81	0	0	109	76
Eel732_002871	94	45	50	12	11	0	43	6
Eam702_005815	214	189	297	264	5	0	72	59
Eam702_005307	874	823	230	212	0	0	66	67
Eel732_007925	26	26	27	44	0	0	41	101
Eam702_004862	0	0	0	0	0	0	23	0
Eel732_000337	214	190	169	225	8	6	126	133
Eel732_000717	9	13	60	19	0	0	27	24
Eel732_006020	28	28	52	39	20	4	107	59
Eam702_004426	259	317	569	472	0	0	222	182
Eel732_006402	129	220	363	306	53	37	97	121
Eam702_005796	149	98	114	52	56	43	68	6
Eam702_006907	429	380	223	214	42	38	124	101
Eel732_007063	29	11	18	0	1	4	101	17
Eam702_000399	129	158	170	271	0	0	187	254
Eam702_003709	230	199	235	134	0	0	89	67
Eel732_001973	57	62	68	62	1	0	5	10
Eam702_001708	244	188	237	326	0	0	106	122
Eel732_007205	291	418	426	528	61	76	299	342
Eam702_003857	75	100	25	32	0	0	102	86
Eam702_006170	717	684	105	115	11	7	60	183
Eel732_001220	43	82	42	8	0	0	62	42
Eam702_005816	94	78	42	28	0	0	42	44
Eel732_000144	0	0	0	0	0	0	71	0
Eam702_003382	126	153	232	247	0	0	146	62
Eam702_007050	109	211	103	214	0	0	33	32
Eam702_004363	148	167	387	358	38	13	207	90
Eam702_000934	251	366	323	579	66	95	450	856
Eel732_000455	19	19	5	37	5	42	19	108
Eam702_002843	124	185	231	202	0	0	41	35
Eel732_006462	0	0	0	0	0	0	103	0
Eam702_001442	411	425	389	467	7	0	234	273
Eam702_006197	809	734	523	452	69	23	254	170
Eam702_003106	0	0	0	0	0	0	30	0
Eam702_006922	0	4	10	11	0	0	6	47
Eel732_005867	62	103	112	99	7	20	59	98
Eel732_004375	5	17	0	0	41	7	55	6
Eam702_003836	509	463	311	294	2	0	77	148
Eel732_003695	320	296	236	312	24	2	65	69
Eel732_003429	0	0	0	0	0	0	1	0
Eel732_007454	76	31	58	17	33	14	70	8
Eam702_001311	130	223	93	109	0	0	67	184
Eel732_004885	198	114	195	150	0	0	114	107
Eam702_003175	75	93	81	99	0	0	25	21
Eam702_003537	102	248	47	161	9	45	55	250
