GENE	S_cerevisiae%S_c_rep1	S_cerevisiae%S_c_rep2	S_cerevisiae_x_paradoxus%S_x_rep1	S_cerevisiae_x_paradoxus%S_x_rep2	S_paradoxus%S_p_rep1	S_paradoxus%S_p_rep2
NM_001178148.1	1197	1043	189	204	66	38
NM_001178149.1	313	314	111	86	113	118
NM_001178150.1	12320	10657	8393	6730	5794	7889
NM_001178151.1	13722	13936	12036	8147	6385	9397
NM_001178152.1	2017	1650	859	737	728	753
NM_001178153.1	369	315	53	63	90	99
NM_001178154.1	538	433	229	284	341	330
NM_001178155.2	132	153	88	103	144	113
NM_001178156.1	1651	1515	727	886	641	583
NM_001178157.1	2646	2345	5093	5347	10703	9367
NM_001178158.2	519	528	269	404	308	269
NM_001178159.1	334	294	96	85	65	99
NM_001178160.1	313	314	69	85	10	9
NM_001178161.1	2181	1884	1455	1558	2362	2285
NM_001178162.2	347	246	72	55	57	55
NM_001178163.1	1	1	1	0	0	0
NM_001178164.1	676	601	668	834	795	959
NM_001178165.2	524	457	234	275	164	158
NM_001178166.1	78	75	89	78	111	142
NM_001178167.1	2023	1682	783	712	472	256
NM_001178168.1	2017	2075	1906	2589	3114	2805
NM_001178169.1	178	148	106	115	203	179
NM_001178170.2	1003	950	1720	2405	2494	1813
NM_001178171.2	924	785	576	531	507	503
NM_001178172.1	288	330	66	77	63	87
NM_001178173.1	248	185	15	13	3	11
NM_001178174.1	916	718	319	329	89	52
NM_001178175.1	1396	1316	328	321	102	149
NM_001178176.1	139	100	33	28	16	13
NM_001178177.1	170	172	61	52	19	48
NM_001178178.1	1537	1251	588	491	252	380
NM_001178179.1	347	311	108	116	112	83
NM_001178180.1	18843	18228	25127	27838	18274	17201
NM_001178181.1	1868	1486	1449	1484	507	527
NM_001178182.1	101	78	33	28	5	4
NM_001178183.1	27975	23081	21255	21030	33907	56053
NM_001178184.1	890	816	591	866	820	592
NM_001178185.1	417	331	358	286	289	287
NM_001178186.1	829	714	411	391	512	419
NM_001178187.1	3035	2779	2406	2672	3115	2546
NM_001178188.1	781	744	684	836	1378	994
NM_001178189.1	8183	7732	1571	1711	1962	1408
NM_001178191.1	1508	1010	564	435	493	540
