GENE	S_alburnoides%Sq_AA_rep1	S_alburnoides%Sq_AA_rep2	S_alburnoides_allo%Sq_PAA_rep1	S_alburnoides_allo%Sq_PAA_rep2	S_pyrenaicus%Sq_PP_rep1	S_pyrenaicus%Sq_PP_rep2
CVRK01000001.1	4	3	8	8	4	4
CVRK01000003.1	23	22	18	24	25	14
CVRK01000004.1	3	3	0	0	2	1
CVRK01000005.1	0	0	0	0	0	0
CVRK01000006.1	1768	1753	23196	22533	4686	4861
CVRK01000007.1	594	590	249	255	31	31
CVRK01000008.1	1	1	0	0	0	0
CVRK01000010.1	12	12	4	4	0	0
CVRK01000011.1	431	430	189	184	59	64
CVRK01000012.1	268	252	2368	2268	248	243
CVRK01000013.1	15	16	5	4	7	8
CVRK01000014.1	6	4	2	0	2	2
CVRK01000015.1	980	951	285	277	44	41
CVRK01000016.1	34	35	20	20	3	3
CVRK01000017.1	14	12	8	5	0	1
CVRK01000018.1	0	3	1	0	0	0
CVRK01000019.1	350	348	177	172	179	175
CVRK01000020.1	16	16	4	5	0	0
CVRK01000021.1	17	18	81	91	0	0
CVRK01000022.1	0	0	0	0	0	0
CVRK01000023.1	2	1	0	0	0	0
CVRK01000024.1	8	8	9	5	4	2
CVRK01000025.1	573	554	322	315	250	238
CVRK01000026.1	60	49	33	37	6	4
CVRK01000027.1	4989	4841	17870	17503	3484	3409
CVRK01000028.1	82	90	4	4	6	5
CVRK01000029.1	0	0	0	0	0	0
CVRK01000030.1	5	7	1	1	29	25
CVRK01000031.1	333	329	756	733	333	329
CVRK01000032.1	0	0	0	0	0	0
CVRK01000033.1	21	26	9	11	18	26
CVRK01000034.1	27	29	151	150	200	195
CVRK01000035.1	30	26	10	10	17	5
CVRK01000036.1	31	35	8	9	2	2
CVRK01000037.1	19	22	6	6	1	2
CVRK01000038.1	18	14	16	16	14	14
CVRK01000039.1	8	8	1	3	0	1
CVRK01000040.1	19	17	18	20	8	12
CVRK01000041.1	0	0	2	2	0	0
CVRK01000042.1	4	4	0	0	1	0
CVRK01000043.1	0	0	0	0	0	0
CVRK01000044.1	3	5	10	9	11	11
CVRK01000045.1	0	0	0	0	0	0
CVRK01000046.1	0	0	0	0	1	1
CVRK01000047.1	521	460	1594	1478	1312	1111
CVRK01000048.1	1	1	1	1	0	0
CVRK01000049.1	0	0	0	0	0	0
CVRK01000050.1	11	6	3	3	1	3
CVRK01000051.1	9	7	1	0	0	0
CVRK01000052.1	3	2	2	2	3	1
CVRK01000053.1	0	0	0	0	0	0
CVRK01000054.1	40	37	72	67	25	25
CVRK01000055.1	0	0	1	0	0	0
CVRK01000056.1	29	26	13	8	2	0
CVRK01000057.1	20	27	82	80	93	74
