GENE	E_amarillans%Eam_1	E_amarillans%Eam_2	E_canadensis_H1%H1_1	E_canadensis_H1%H1_2	E_elymi%Eel_1	E_elymi%Eel_2
Eel732_004340	83	86	198	439	91	42
Eam702_006428	44	46	262	1012	314	114
Eam702_001535	216	150	779	1852	221	111
Eel732_001101	192	202	238	1146	179	74
Eel732_006560	399	337	1120	2778	405	193
Eam702_002851	90	83	240	665	126	63
Eel732_005042	436	451	1334	3843	464	233
Eel732_001253	238	261	705	1969	356	169
Eel732_005746	212	191	726	2151	259	99
Eel732_000619	184	173	355	901	139	73
Eam702_007430	57	92	249	810	93	54
Eel732_005191	11	11	37	49	10	1
Eel732_004431	34	26	233	284	64	50
Eam702_006339	155	146	253	1044	163	84
Eam702_000232	53	43	194	586	72	25
Eam702_004090	65	54	251	763	136	67
Eam702_003775	8	3	0	60	8	3
Eel732_001070	42	27	154	296	55	26
Eam702_000845	3	0	0	0	1	0
Eel732_000128	17	16	104	294	90	43
Eam702_000676	159	200	474	1684	147	55
Eel732_004879	151	157	441	1345	166	76
Eam702_004498	33	27	123	305	69	33
Eam702_002746	63	64	83	402	65	36
Eam702_000719	205	224	614	1696	246	91
Eam702_003522	25	20	1	154	24	11
Eel732_003790	152	132	338	1067	147	92
Eel732_003324	36	64	92	447	65	37
Eel732_003405	164	165	466	1113	126	68
Eel732_006043	263	200	661	1428	287	157
Eel732_004841	30	40	210	742	94	46
Eam702_004877	49	44	63	438	81	22
Eam702_002914	46	26	113	224	56	33
Eel732_001916	139	112	391	1220	111	54
Eel732_003469	31	30	88	404	107	38
Eel732_005589	699	574	2113	5955	758	369
Eam702_002067	124	139	353	938	150	64
Eel732_007043	128	127	200	712	93	34
Eel732_002298	71	46	164	544	94	43
Eam702_001642	94	71	252	717	97	61
Eam702_001530	149	143	265	764	116	56
Eam702_000594	55	31	68	335	18	12
Eel732_000548	70	56	197	670	99	31
Eam702_000357	236	244	395	1799	210	87
Eel732_007228	80	81	332	863	112	55
Eel732_000676	151	213	194	648	117	45
Eel732_004747	272	243	703	1937	328	129
Eel732_003694	131	219	342	1246	254	80
Eel732_007563	68	36	146	245	81	36
Eel732_005174	199	219	466	1702	232	124
Eam702_001103	3748	3114	7530	23253	3034	1457
Eam702_000124	52	56	389	1411	107	53
Eel732_006049	11	5	59	125	38	21
Eam702_000162	394	380	618	1606	206	71
Eam702_001010	143	154	224	896	98	35
Eel732_002871	130	106	163	261	30	10
Eam702_005815	174	145	359	1100	303	125
Eam702_005307	393	530	753	2272	139	76
Eel732_007925	50	54	58	265	88	40
Eam702_004862	4	4	0	23	6	5
Eel732_000337	165	189	342	1071	209	80
Eel732_000717	4	10	47	152	56	19
Eel732_006020	37	31	187	337	67	38
Eam702_004426	118	116	631	2021	324	151
Eel732_006402	91	93	405	1326	235	106
Eam702_005796	93	100	203	586	94	48
Eam702_006907	303	291	568	1551	229	101
